Station,Station ID,Station Name,Rail Lines Served,State Designated TOD,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekday_ridership,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency_of_Service_Weekday_All,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Martin State Airport,52,Martin State Airport,MARC: Penn Line,No,Baltimore County,"Town, Suburban, or Employment Center",135189,Anchor,2,3,2,2,1,4,1,1,3,Local Bus; Express Bus,"024, 160","24, 160",391.83,,,,,391.83,,,,,,,,,,,,,3,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,348,No,6,0,0,290,316,109%,1.012118274,,0.891604257,33.1095,1,0,N/A,10,1,No,"BM-CT high density commercial, residential",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,1,1,1,0,2,0,0,,,"(39.338027, -76.421235)"
West Baltimore,53,West Baltimore,MARC: Penn Line,No,Baltimore City,Urban Neighborhood,572849,Neighborhood,2,1,3,4,4,5,2,1,4,Local Bus; Express Bus; Quick Bus,"015, 023, 040, 047, 051, 150","15, 23, 40, 47, 51, 150",750.58,,,,,750.58,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,No,No,323,No,11,0,0,333,316,95%,0.446698168,,0.827552227,276.337,6,1,1 BR-Wheel Bender Combo,0,,Yes,TOD-2 & TOD- 4 proposed zoning,http://cityview.baltimorecity.gov/,,5,30,0,0,0,3,0,0,,,"(39.293192, -76.65394)"
Halethorpe,54,Halethorpe,MARC: Penn Line,No,Baltimore County,"Town, Suburban, or Employment Center",282770,Anchor,2,3,4,1,2,2,3,1,2,Local Bus,"036, 077","36, 77",1418.75,,,,,1418.75,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,795,No,44,0,0,699,1075,154%,0.619601221,,2.036854553,118.43,3,1,1 BR-Wheel Bender Combo,6,5,No,ML - Manufacturing Light,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,31,25,40,0,0,0,0,,,"(39.23798, -76.691915)"
BWI Rail Station,55,BWI Rail Station,MARC: Penn Line,No,Anne Arundel County,"Town, Suburban, or Employment Center",183449,Regional,3,5,3,1,1,1,1,1,4,Local Bus; Commuter Bus; WMATA Metrobus,"017, 201, B30","17, 201, B30",1889.08,,,,,1889.08,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,0,5,5,975,2286,234%,0,,0,2.54689,2,0,N/A,20,14,No,R-1 residential ( 1 house per acre),http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0,0,0,0,0,1,0,0,,,"(39.191845, -76.694816)"
Odenton,57,Odenton,MARC: Penn Line,Yes,Anne Arundel County,"Town, Suburban, or Employment Center",133367,Anchor,3,5,5,4,1,3,5,1,2,Local Transit,,,2815.58,,,,,2815.58,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1920,No,56,2,0,1769,1865,105%,0.80511584,,4.919195901,52.2112,2,4,2 BR-Wheel Bender Combo; 1 Hanger; 1 Wave,10,8,Yes,Adopted OTC Master Plan & Resolution 48-11 ,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,Master Plans\MARC\Odenton\OdentonTC_2009.pdf,0,24,124,736,0,9,1,235,,,"(39.087389, -76.706361)"
Bowie State,58,Bowie State,MARC: Penn Line,No,Prince Georges County,"Town, Suburban, or Employment Center",118615,Anchor,3,1,4,1,1,2,1,1,2,WMATA Metrobus,"B21, B22, B24, B25, B27","B21, B22, B24, B25, B27",652.17,,,,,652.17,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,No,No,618,No,14,0,0,415,496,120%,0.992771084,,1.583366181,5.09378,3,6,2 Inverted U; 4 Other,0,,Yes,"MARC Station Sector Plan, OS Open Space",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,67,55,"(39.017467, -76.766158)"
Seabrook,59,Seabrook,MARC: Penn Line,No,Prince Georges County,"Town, Suburban, or Employment Center",231434,Anchor,2,2,4,1,2,3,1,1,2,WMATA Bus,B27,B27,431.08,,,,,431.08,,,,,,,,,,,,,0,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,No,257,No,10,0,0,239,284,119%,0.628105906,,0.658454868,92.9614,3,3,2 Inverted U; 1 Wave,10,10,No,"C-M, C-A, C-S-C, R-80",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,1229,226,"(38.9725, -76.8443)"
New Carrollton,60,New Carrollton,MARC: Penn Line,Yes,Prince Georges County,"Town, Suburban, or Employment Center",301688,Anchor,3,3,3,5,2,4,1,1,4,WMATA Metrobus; Local Transit; Amtrak,WMATA Metrobus New Carrollton Routes,WMATA Metrobus New Carrollton Routes,960.33,,,,,960.33,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,0,Yes,0,0,0,0,,,0,,0,62.3988,2,35,12 Inverted U; 23 Thick Inverted U,8,,Yes,M-X-T,http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,749,42,"(38.9482, -76.8717)"
St. Denis,63,St. Denis,MARC: Camden Line,No,Baltimore County,"Town, Suburban, or Employment Center",225363,Anchor,1,1,1,1,2,2,2,1,1,,,,,17.17,,,,17.17,,,,,,,,,,,,,,,,,,On Grade,No,No,No,Yes,Yes,No,No,32,No,2,0,0,18,7,41%,3.52293578,,0.138473643,43.2971,3,0,N/A,0,,No,"Residential, Industrial",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,11,11,11,0,3,0,0,,,"(39.223981, -76.705293)"
Dorsey,64,Dorsey,MARC: Camden Line,No,Howard County,"Town, Suburban, or Employment Center",145241,Anchor,2,5,2,1,1,4,4,1,3,Commuter Bus; Local Transit,201,201,,581,,,,581,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,842,No,18,2,0,594,507,85%,1.802033173,,3.643587726,30.5627,1,2,2 Wave,10,2,Yes,TOD zone ,,,0,6,471,646,0,21,0,0,,,"(39.181036, -76.745809)"
