Station,Station ID,Station Name,Rail Lines Served,State Designated TOD,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekday_ridership,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency_of_Service_Weekday_All,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Frederick,78,Frederick,MARC: Brunswick Line,No,City of Frederick,Downtown,110368,Regional,1,3,1,3,4,5,2,1,2,Local Transit,,,,,117.92,,,117.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,89,Yes,4,0,0,30,9,29%,0.857831325,,0.474104765,122.251,5,6,6 Other,0,,No,DB Downtown Business,http://www.cityoffrederick.com/DocumentCenter/Home/View/428,,,,,,,,,,1525,1575,"(39.411887, -77.405455)"
Monocacy,79,Monocacy,MARC: Brunswick Line,No,Frederick County,"Town, Suburban, or Employment Center",101546,Anchor,1,2,2,1,1,3,1,1,3,Commuter Bus; Local Transit,"204, 991","204, 991",,,219.25,,,219.25,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,No,No,791,No,23,0,0,485,597,123%,3.836701698,,4.213672684,34.383,3,10,10 Other,0,,No,"GC - General Commercial, MM - Minneral Mining",https://frederickcountymd.gov/index.aspx?NID=1409,,,,,,,,,,30,25,"(39.382008, -77.394624)"
Dickerson,80,Dickerson,MARC: Brunswick Line,No,Montgomery County,Village Center or Rural Town,5046,Regional,1,1,2,2,1,3,1,1,1,,,,,,26.75,,,26.75,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,No,No,No,No,16,No,0,0,0,14,17,121%,0.633663366,,0.085232317,11.461,1,0,N/A,0,,No,"Rural, R-200, C-1, I-1",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,114,50,"(39.219889, -77.422477)"
Barnesville,81,Barnesville,MARC: Brunswick Line,No,Montgomery County,Village Center or Rural Town,11447,Regional,1,1,1,1,1,1,1,1,1,,,,,,87.92,,,87.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,No,No,Yes,73,No,2,0,0,66,69,105%,0.975501114,,0.388872448,3.82033,1,4,4 Inverted U,0,,No,"Rural RDT, I - 1 station only",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,47,25,"(39.209548, -77.383015)"
Boyds,82,Boyds,MARC: Brunswick Line,No,Montgomery County,Village Center or Rural Town,111308,Regional,1,1,1,2,1,3,1,1,1,,,,,,18.33,,,18.33,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,16,No,0,0,0,13,12,90%,1.084745763,,0.085232317,5.09378,2,0,N/A,0,,No,"Rural, R-200, C-1, T-S, I-1",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,87,105,"(39.184814, -77.316686)"
Germantown,83,Germantown,MARC: Brunswick Line,No,Montgomery County,"Town, Suburban, or Employment Center",216450,Anchor,2,1,4,2,2,4,3,1,2,Local Transit,,,,,913,,,913,,,,,,,,,,,,,,,,,,On Grade,No,No,Yes,Yes,Yes,No,Yes,672,No,22,0,0,667,683,102%,0.888399251,,3.579757325,57.305,4,4,2 Inverted U; 1 BR-Wheel Bender Combo; 1 Wave,0,,No,"TMX - 2 (north), CT, R-200, Historic District (south)",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1063,2937,"(39.173119, -77.270021)"
Metropolitan Grove,84,Metropolitan Grove,MARC: Brunswick Line,No,City of Gaithersburg,"Town, Suburban, or Employment Center",289266,Anchor,2,1,1,1,1,2,5,1,3,Commuter Bus; Local Transit,202,202,,,306.92,,,306.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,343,No,8,0,0,160,230,144%,1.079181961,,1.827167801,35.6564,2,3,1 Inverted U; 1 Wave; 1 Other,0,,No,RA - low density residential*,http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,716,6816,"(39.148887, -77.225078)"
Gaithersburg,85,Gaithersburg,MARC: Brunswick Line,No,City of Gaithersburg,Urban Neighborhood,282045,Neighborhood,2,2,3,3,3,5,1,1,2,Local Transit,,,,,585.33,,,585.33,,,,,,,,,,,,,,,,,,On Grade,Yes,No,Yes,Yes,Yes,Yes,No,0,No,0,0,0,370,,0%,0,,0,86.5942,5,0,N/A,0,,No,CBD - Historic (north side),http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1150,561,"(39.141081, -77.193329)"
Washington Grove,86,Washington Grove,MARC: Brunswick Line; WMATA Metro,No,Montgomery County,Urban Neighborhood,281726,Neighborhood,1,1,3,2,2,3,1,1,2,Local Transit,,,,,47.92,,,47.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,27,No,0,0,0,25,32,129%,0.621880998,,0.143829535,75.1332,3,0,N/A,0,,No,"CT, I - 1",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,849,603,"(39.136129, -77.178297)"
Rockville,87,Rockville,MARC: Brunswick Line; Amtrak,No,City of Rockville,"Town, Suburban, or Employment Center",316574,Anchor,2,1,5,4,5,5,2,1,3,WMATA Metrobus; Local Transit,WMATA Rockville Metrobus Routes,WMATA Rockville Metrobus Routes,,,584.33,,,584.33,,,,,,,,,,,,,,,,,,Grade Separated,Yes,No,Yes,Yes,Yes,No,No,0,Yes,0,0,0,500,,0%,0,,0,182.103,8,32,32 Inverted U,20,,Yes,"MXTD, high density; MXNC  low density east side tracks",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1919,1746,"(39.08459, -77.146842)"
Garrett Park,88,Garrett Park,MARC: Brunswick Line,No,Montgomery County,Urban Neighborhood,389820,Neighborhood,1,1,3,1,3,3,1,1,2,Local Transit,,,,,50.33,,,50.33,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,41,No,1,0,0,7,36,510%,0.923076923,,0.218407813,100.602,4,2,1 Bicycle Shaped; 1 Other,0,,No,C-1 station only,http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1374,345,"(39.0388, -77.0935)"
Kensington,89,Kensington,MARC: Brunswick Line,No,Montgomery County,Urban Neighborhood,418254,Neighborhood,2,3,1,1,3,4,1,1,2,Local Transit,,,,,188.58,,,188.58,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,No,102,No,5,0,0,40,79,197%,0.623217923,,0.543356023,179.556,4,2,2 Thick Inverted U,0,,No,"CRT - 1.5, C - 1.5",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1520,575,"(39.027388, -77.072231)"
Silver Spring,90,Silver Spring,MARC: Brunswick Line; WMATA Metro,No,Montgomery County,"Town, Suburban, or Employment Center",391426,Anchor,2,1,1,4,5,5,5,1,4,Commuter Bus; WMATA Metrobus; Local Transit,"305, 315, 325, WMATA Metrobus Silver Spring Routes","305, 315, 325, WMATA Metrobus Silver Spring Routes",,,561.08,,,561.08,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,Yes,Yes,No,No,No,0,Yes,0,0,0,0,,,0,,0,163.001,11,0,N/A,0,,Yes,"CBD-2, CBD-3 high density mixed use",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,2703,6958,"(38.989433, -77.027446)"
Branch Avenue,91,Branch Avenue,WMATA Metro,Yes,Prince George's County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.828703, -76.920177)"
Naylor Road,92,Naylor Road,WMATA Metro,Yes,Prince George's County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.8513, -76.956742)"
Shady Grove,93,Shady Grove,WMATA Metro,Yes,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.119828, -77.164441)"
Twinbrook,94,Twinbrook,WMATA Metro,Yes,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.061249, -77.119564)"
Wheaton,95,Wheaton,WMATA Metro,Yes,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.039413, -77.051233)"
White Flint,96,White Flint,WMATA Metro,Yes,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.048598, -77.11211)"
